URL: /
Timestamp: Wed Apr 10 2024 19:26:10 GMT-0600 (Mountain Daylight Time)

URL: /favicon.ico
Timestamp: Wed Apr 10 2024 19:26:11 GMT-0600 (Mountain Daylight Time)

URL: /documentation
Timestamp: Wed Apr 10 2024 19:26:24 GMT-0600 (Mountain Daylight Time)

URL: /favicon.ico
Timestamp: Wed Apr 10 2024 19:26:24 GMT-0600 (Mountain Daylight Time)

::1 - - [06/May/2024:00:53:06 +0000] "PUT /users/Bob%20Johnson HTTP/1.1" 500 48 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:00:53:55 +0000] "PUT /users/Bob%20Johnson HTTP/1.1" 500 48 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:00:55:33 +0000] "PUT /users/Bob%20Johnson HTTP/1.1" 500 48 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:00:25 +0000] "PUT /users/Bob%20Johnson HTTP/1.1" 500 48 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:07:54 +0000] "PUT /users/Bob%20Johnson HTTP/1.1" 500 48 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:13:49 +0000] "GET /movies HTTP/1.1" 201 8356 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:15:08 +0000] "GET /users HTTP/1.1" 201 894 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:16:10 +0000] "GET /movies HTTP/1.1" 201 8356 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:16:48 +0000] "GET /users/Jane%20Doe/movies/663186e3a45ed08918abf2b9 HTTP/1.1" 404 187 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:17:06 +0000] "POST /users/Jane%20Doe/movies/663186e3a45ed08918abf2b9 HTTP/1.1" 200 185 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:19:20 +0000] "DELETE /users/Jane%20Doe/663186e3a45ed08918abf2b9 HTTP/1.1" 500 1365 "-" "PostmanRuntime/7.38.0"
